iter	Logloss
0	0.3621245857
1	0.2982410708
2	0.2381349338
3	0.1956572137
4	0.1749639893
5	0.151312687
6	0.1406343275
7	0.1258829139
8	0.1112259439
9	0.1034909055
10	0.09439297344
11	0.0893299182
12	0.07550602449
13	0.06562516071
14	0.06399574982
15	0.06042796603
16	0.05425968232
17	0.05233439263
18	0.04982491151
19	0.04272061301
20	0.03805599496
21	0.0366735222
22	0.03563783098
23	0.032905311
24	0.03074250141
25	0.02974184676
26	0.02862683232
27	0.02575918394
28	0.02548830077
29	0.02347343185
30	0.02232467161
31	0.02111205919
32	0.02013570211
33	0.01972242456
34	0.0187899099
35	0.01703056696
36	0.01674580415
37	0.01570967541
38	0.01480226786
39	0.01330142719
40	0.0125235944
41	0.01134127106
42	0.0110822887
43	0.01065499891
44	0.009981576554
45	0.009394805183
46	0.008672339415
47	0.008287670967
48	0.00817660148
49	0.00750287158
50	0.007145079281
51	0.006963442447
52	0.006719166874
53	0.006406525915
54	0.006015543146
55	0.005793212323
56	0.005635208471
57	0.005324069838
58	0.005162342848
59	0.004965936643
60	0.004843460654
61	0.004736837897
62	0.004660473171
63	0.004564909094
64	0.004494111354
65	0.004445856419
66	0.004161851275
67	0.004073287149
68	0.004037445073
69	0.004036988408
70	0.003902619678
71	0.003759999376
72	0.00363445659
73	0.003524488913
74	0.003454749968
75	0.003419021456
76	0.003387871267
77	0.003264250225
78	0.003150736397
79	0.003037558582
80	0.002999842198
81	0.002937119061
82	0.002917901144
83	0.002880899013
84	0.002853960578
85	0.002853345792
86	0.002852312
87	0.002785543013
88	0.002785493252
89	0.002785464684
90	0.002785437882
91	0.00278517508
92	0.002780515336
93	0.002738853889
94	0.002706136422
95	0.002679231554
96	0.002576849398
97	0.002519016696
98	0.002428777068
99	0.002360835595
100	0.002308617676
101	0.002269828054
102	0.002216663856
103	0.002171889786
104	0.002130474017
105	0.002089111999
106	0.002039761814
107	0.001990546669
108	0.001956522672
109	0.001930606683
110	0.001905907349
111	0.001872824656
112	0.001840940363
113	0.001800781621
114	0.001774841648
115	0.001746602607
116	0.001746545641
117	0.001746545641
118	0.001715375141
119	0.0016861772
120	0.00165572497
121	0.001629463498
122	0.001597799183
123	0.001597631771
124	0.001597607965
125	0.001570155966
126	0.001545941139
127	0.00151175856
128	0.001483858769
129	0.001475815704
130	0.001443751797
131	0.001420862053
132	0.001398294847
133	0.001375702063
134	0.001375607077
135	0.001375607077
136	0.001375595394
137	0.001375578609
138	0.00137556424
139	0.001375547568
140	0.001375522688
141	0.001344177253
142	0.001320248645
143	0.001298548936
144	0.001298530202
145	0.001298502736
146	0.001298494259
147	0.001298494259
148	0.001298483535
149	0.00129809922
